"","INSTNM","CITY","STABBR","ZIP","HCM2","ST_FIPS","REGION","LOCALE","LOCALE2","LATITUDE","LONGITUDE","RELAFFIL","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","NPT4_PUB","NPT45_PRIV","NPT4_PROG","NPT4_OTHER","TUITIONFEE_IN","TUITIONFEE_OUT","PCTPELL"
"1","Alabama A & M University","Normal","AL","35762",0,1,5,"12",NA,"34.783368","-86.568502",NA,"430","520","410","510",NA,NA,"475","460",NA,"15","20","14","20","15","18",NA,NA,"18","17","17",NA,"954","954","13057",NA,NA,NA,"10024","18634","0.6853"
"2","University of Alabama at Birmingham","Birmingham","AL","35294-0110",0,1,5,"12",NA,"33.505697","-86.799345",NA,"593","680","580","708",NA,NA,"637","644",NA,"23","30","23","33","21","28",NA,NA,"27","28","25",NA,"1266","1266","16585",NA,NA,NA,"8568","20400","0.3253"
"3","Amridge University","Montgomery","AL","36117-3553",0,1,5,"12",NA,"32.362609","-86.17401","74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7852"
"4","University of Alabama in Huntsville","Huntsville","AL","35899",0,1,5,"12",NA,"34.724557","-86.640449",NA,"580","700","590","720",NA,NA,"640","655",NA,"24","31","24","32","23","29",NA,NA,"28","28","26",NA,"1300","1300","17250",NA,NA,NA,"11488","23884","0.2377"
"5","Alabama State University","Montgomery","AL","36104-0271",0,1,5,"12",NA,"32.364317","-86.295677",NA,"442","534","397","516",NA,NA,"488","457",NA,"15","20","12","22","15","19",NA,NA,"18","17","17",NA,"955","955","13593",NA,NA,NA,"11068","19396","0.7205"
"6","The University of Alabama","Tuscaloosa","AL","35487-0100",0,1,5,"12",NA,"33.211875","-87.545978",NA,"540","680","530","690",NA,NA,"610","610",NA,"21","31","21","33","19","28",NA,NA,"26","27","24",NA,"1244","1244","21534",NA,NA,NA,"11620","31090","0.1712"
"7","Central Alabama Community College","Alexander City","AL","35010",0,1,5,"32",NA,"32.92478","-85.945266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8628",NA,NA,NA,"4930","8620","0.2982"
"8","Athens State University","Athens","AL","35611",0,1,5,"31",NA,"34.806793","-86.964698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.4036"
"9","Auburn University at Montgomery","Montgomery","AL","36117-3596",0,1,5,"12",NA,"32.36736","-86.177544",NA,"480","595","470","565",NA,NA,"538","518",NA,"17","24","16","24","16","22",NA,NA,"21","20","19",NA,"1069","1069","13689",NA,NA,NA,"8860","18820","0.4821"
"10","Auburn University","Auburn","AL","36849",0,1,5,"13",NA,"32.599378","-85.488258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23258",NA,NA,NA,"11826","31986","0.1301"
"11","Birmingham-Southern College","Birmingham","AL","35254",0,1,5,"12",NA,"33.513774","-86.850552","71","550","610","540","630",NA,NA,"580","585",NA,"22","28","22","30","19","26",NA,NA,"25","26","23",NA,"1214","1214",NA,"23073",NA,NA,"20100","20100","0.2152"
"12","Chattahoochee Valley Community College","Phenix City","AL","36869",0,1,5,"41",NA,"32.42391","-85.031485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3557",NA,NA,NA,"3936","7128","0.4568"
"13","South University-Montgomery","Montgomery","AL","36116",0,1,5,"12",NA,"32.342684","-86.216488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17014","17014","0.5536"
"14","Enterprise State Community College","Enterprise","AL","36330-1300",0,1,5,"32",NA,"31.297496","-85.836956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3214",NA,NA,NA,"4860","8550","0.3709"
"15","Coastal Alabama Community College","Bay Minette","AL","36507-2698",0,1,5,"32",NA,"30.851343","-87.778193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6043",NA,NA,NA,"4860","8850","0.3142"
"16","Faulkner University","Montgomery","AL","36109-3390",0,1,5,"12",NA,"32.384181","-86.21641","74","500","600","490","605",NA,NA,"550","548",NA,"16","23","16","23","16","22",NA,NA,"20","20","19",NA,"1042","1042",NA,"22580",NA,NA,"23490","23490","0.461"
"17","Gadsden State Community College","Gadsden","AL","35903",0,1,5,"13",NA,"33.994001","-85.991438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4239",NA,NA,NA,"3936","6888","0.4522"
"18","New Beginning College of Cosmetology","Albertville","AL","35951",0,1,5,"32",NA,"34.27871","-86.196931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16895",NA,NA,NA,NA,"0.6538"
"19","George C Wallace Community College-Dothan","Dothan","AL","36303-9234",0,1,5,"13",NA,"31.315274","-85.465836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1520",NA,NA,NA,"4800","8790","0.4331"
"20","George C Wallace State Community College-Hanceville","Hanceville","AL","35077-2000",0,1,5,"32",NA,"34.072439","-86.781935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8467",NA,NA,NA,"4860","8550","0.3989"
"21","George C Wallace State Community College-Selma","Selma","AL","36702-2808",0,1,5,"32",NA,"32.445917","-87.013294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1912",NA,NA,NA,"4560","8250","0.497"
"22","Herzing University-Birmingham","Birmingham","AL","35209",0,1,5,"21",NA,"33.468466","-86.832465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14200","14200","0.6748"
"23","Huntingdon College","Montgomery","AL","36106-2148",0,1,5,"12",NA,"32.351034","-86.284366","71","510","560","470","510",NA,NA,"535","490",NA,"19","25","20","25","17","24",NA,NA,"22","23","21",NA,"1111","1111",NA,"24617",NA,NA,"27900","27900","0.3946"
